model,algo,N,P,time,fix
binom,svi_1,40000,100,14.597999999998137,P_fix
binom,svi_0,40000,100,20.535000000003492,P_fix
binom,cavi_1,40000,100,5198.040999999997,P_fix
binom,cavi_0,40000,100,5532.200000000012,P_fix
binom,glmnet,40000,100,69.3179999999993,P_fix
linear,cavi_1,40000,100,4.198000000003958,P_fix
linear,cavi_0,40000,100,2.6089999999967404,P_fix
linear,glmnet,40000,100,4.103000000002794,P_fix
binom,svi_1,20000,100,15.817000000010012,P_fix
binom,svi_0,20000,100,22.637000000002445,P_fix
binom,cavi_1,20000,100,1273.1189999999915,P_fix
binom,cavi_0,20000,100,1296.1680000000051,P_fix
binom,glmnet,20000,100,47.61699999999837,P_fix
linear,cavi_1,20000,100,2.14000000001397,P_fix
linear,cavi_0,20000,100,1.5480000000097789,P_fix
linear,glmnet,20000,100,2.069000000003143,P_fix
binom,svi_1,10000,100,14.452000000004773,P_fix
binom,svi_0,10000,100,21.052000000010594,P_fix
binom,cavi_1,10000,100,154.5,P_fix
binom,cavi_0,10000,100,123.74400000000605,P_fix
binom,glmnet,10000,100,26.638999999995576,P_fix
linear,cavi_1,10000,100,1.0789999999979045,P_fix
linear,cavi_0,10000,100,0.7690000000002328,P_fix
linear,glmnet,10000,100,1.110000000000582,P_fix
binom,svi_1,5000,100,13.702000000004773,P_fix
binom,svi_0,5000,100,20.802999999999884,P_fix
binom,cavi_1,5000,100,36.947000000000116,P_fix
binom,cavi_0,5000,100,36.95200000000477,P_fix
binom,glmnet,5000,100,13.513999999995576,P_fix
linear,cavi_1,5000,100,0.5899999999965075,P_fix
linear,cavi_0,5000,100,0.42299999999522697,P_fix
linear,glmnet,5000,100,0.7370000000082655,P_fix
binom,svi_1,1000,100,13.572000000000116,P_fix
binom,svi_0,1000,100,20.778999999994994,P_fix
binom,cavi_1,1000,100,1.2839999999996508,P_fix
binom,cavi_0,1000,100,1.2139999999926658,P_fix
binom,glmnet,1000,100,19.76600000000326,P_fix
linear,cavi_1,1000,100,0.1300000000046566,P_fix
linear,cavi_0,1000,100,0.10900000001129229,P_fix
linear,glmnet,1000,100,0.24199999999837019,P_fix
binom,svi_1,1000,800,649.7419999999984,N_fix
binom,svi_0,1000,800,2830.951000000001,N_fix
binom,cavi_1,1000,800,20.297000000005937,N_fix
binom,cavi_0,1000,800,25.995000000009895,N_fix
binom,glmnet,1000,800,9.031999999991967,N_fix
linear,cavi_1,1000,800,12.28399999999965,N_fix
linear,cavi_0,1000,800,14.09100000000035,N_fix
linear,glmnet,1000,800,15.682999999989988,N_fix
binom,svi_1,1000,600,356.0139999999956,N_fix
binom,svi_0,1000,600,1300.4020000000019,N_fix
binom,cavi_1,1000,600,15.55399999999645,N_fix
binom,cavi_0,1000,600,13.476999999998952,N_fix
binom,glmnet,1000,600,8.669999999998254,N_fix
linear,cavi_1,1000,600,6.73399999999674,N_fix
linear,cavi_0,1000,600,6.515000000006694,N_fix
linear,glmnet,1000,600,6.063999999998487,N_fix
binom,svi_1,1000,400,159.90200000000186,N_fix
binom,svi_0,1000,400,432.150999999998,N_fix
binom,cavi_1,1000,400,6.358000000000175,N_fix
binom,cavi_0,1000,400,6.434999999997672,N_fix
binom,glmnet,1000,400,9.296000000002095,N_fix
linear,cavi_1,1000,400,2.644000000000233,N_fix
linear,cavi_0,1000,400,2.161999999996624,N_fix
linear,glmnet,1000,400,1.7899999999935972,N_fix
binom,svi_1,1000,200,38.34800000000541,N_fix
binom,svi_0,1000,200,75.69000000000233,N_fix
binom,cavi_1,1000,200,3.8510000000023865,N_fix
binom,cavi_0,1000,200,3.0320000000065193,N_fix
binom,glmnet,1000,200,13.413999999997031,N_fix
linear,cavi_1,1000,200,0.5779999999940628,N_fix
linear,cavi_0,1000,200,0.4320000000006985,N_fix
linear,glmnet,1000,200,0.5199999999967986,N_fix
binom,svi_1,1000,100,11.597999999998137,N_fix
binom,svi_0,1000,100,17.661999999996624,N_fix
binom,cavi_1,1000,100,1.0210000000006403,N_fix
binom,cavi_0,1000,100,1.1059999999997672,N_fix
binom,glmnet,1000,100,40.83899999999994,N_fix
linear,cavi_1,1000,100,0.11400000000139698,N_fix
linear,cavi_0,1000,100,0.09799999999813735,N_fix
linear,glmnet,1000,100,0.2190000000045984,N_fix
binom,svi_1,40000,100,14.072999999996682,P_fix
binom,svi_0,40000,100,20.093999999997322,P_fix
binom,cavi_1,40000,100,3790.3339999999953,P_fix
binom,cavi_0,40000,100,3814.589,P_fix
binom,glmnet,40000,100,52.499000000003434,P_fix
linear,cavi_1,40000,100,3.658000000003085,P_fix
linear,cavi_0,40000,100,2.235000000000582,P_fix
linear,glmnet,40000,100,3.4830000000001746,P_fix
binom,svi_1,20000,100,12.532999999995809,P_fix
binom,svi_0,20000,100,18.49199999999837,P_fix
binom,cavi_1,20000,100,481.6449999999968,P_fix
binom,cavi_0,20000,100,449.27700000000186,P_fix
binom,glmnet,20000,100,28.560999999994237,P_fix
linear,cavi_1,20000,100,1.860000000000582,P_fix
linear,cavi_0,20000,100,1.323999999993248,P_fix
linear,glmnet,20000,100,1.8729999999995925,P_fix
binom,svi_1,10000,100,12.000999999996566,P_fix
binom,svi_0,10000,100,18.37199999999575,P_fix
binom,cavi_1,10000,100,110.8640000000014,P_fix
binom,cavi_0,10000,100,110.1359999999986,P_fix
binom,glmnet,10000,100,16.358000000000175,P_fix
linear,cavi_1,10000,100,0.9570000000021537,P_fix
linear,cavi_0,10000,100,0.6750000000029104,P_fix
linear,glmnet,10000,100,0.9909999999945285,P_fix
binom,svi_1,5000,100,12.059999999997672,P_fix
binom,svi_0,5000,100,17.580000000001746,P_fix
binom,cavi_1,5000,100,35.30599999999686,P_fix
binom,cavi_0,5000,100,33.63199999999779,P_fix
binom,glmnet,5000,100,12.290000000000873,P_fix
linear,cavi_1,5000,100,0.5409999999974389,P_fix
linear,cavi_0,5000,100,0.37299999999959255,P_fix
linear,glmnet,5000,100,0.5559999999968568,P_fix
binom,svi_1,1000,100,11.740000000005239,P_fix
binom,svi_0,1000,100,17.516999999999825,P_fix
binom,cavi_1,1000,100,1.02900000000227,P_fix
binom,cavi_0,1000,100,0.8180000000065775,P_fix
binom,glmnet,1000,100,6.0879999999961,P_fix
linear,cavi_1,1000,100,0.11199999999371357,P_fix
linear,cavi_0,1000,100,0.09399999999732245,P_fix
linear,glmnet,1000,100,0.22199999999429565,P_fix
binom,svi_1,1000,800,565.0449999999983,N_fix
binom,svi_0,1000,800,2494.8830000000016,N_fix
binom,cavi_1,1000,800,21.794999999998254,N_fix
binom,cavi_0,1000,800,23.940999999998894,N_fix
binom,glmnet,1000,800,10.35399999999936,N_fix
linear,cavi_1,1000,800,12.94999999999709,N_fix
linear,cavi_0,1000,800,14.190999999998894,N_fix
linear,glmnet,1000,800,16.22200000000157,N_fix
binom,svi_1,1000,600,329.01400000000285,N_fix
binom,svi_0,1000,600,1193.0540000000037,N_fix
binom,cavi_1,1000,600,10.146999999997206,N_fix
binom,cavi_0,1000,600,14.279999999998836,N_fix
binom,glmnet,1000,600,8.016999999999825,N_fix
linear,cavi_1,1000,600,6.623999999996158,N_fix
linear,cavi_0,1000,600,5.807999999997264,N_fix
linear,glmnet,1000,600,6.072999999996682,N_fix
binom,svi_1,1000,400,165.60800000000017,N_fix
binom,svi_0,1000,400,410.72200000000157,N_fix
binom,cavi_1,1000,400,6.881000000001222,N_fix
binom,cavi_0,1000,400,6.637000000002445,N_fix
binom,glmnet,1000,400,9.974000000001979,N_fix
linear,cavi_1,1000,400,2.2920000000012806,N_fix
linear,cavi_0,1000,400,1.937000000005355,N_fix
linear,glmnet,1000,400,1.8080000000045402,N_fix
binom,svi_1,1000,200,37.58299999999872,N_fix
binom,svi_0,1000,200,74.95599999999831,N_fix
binom,cavi_1,1000,200,2.3379999999961,N_fix
binom,cavi_0,1000,200,1.7959999999948195,N_fix
binom,glmnet,1000,200,28.277000000001863,N_fix
linear,cavi_1,1000,200,0.5200000000040745,N_fix
linear,cavi_0,1000,200,0.40499999999883585,N_fix
linear,glmnet,1000,200,0.5210000000006403,N_fix
binom,svi_1,1000,100,11.449000000000524,N_fix
binom,svi_0,1000,100,17.338999999999942,N_fix
binom,cavi_1,1000,100,1.0609999999942374,N_fix
binom,cavi_0,1000,100,0.8989999999976135,N_fix
binom,glmnet,1000,100,8.927999999999884,N_fix
linear,cavi_1,1000,100,0.11200000000098953,N_fix
linear,cavi_0,1000,100,0.09399999999732245,N_fix
linear,glmnet,1000,100,0.21499999999650754,N_fix
binom,svi_1,40000,100,13.361999999993714,P_fix
binom,svi_0,40000,100,19.24000000000524,P_fix
binom,cavi_1,40000,100,4473.512999999999,P_fix
binom,cavi_0,40000,100,4681.503000000004,P_fix
binom,glmnet,40000,100,63.56500000000233,P_fix
linear,cavi_1,40000,100,4.129000000000815,P_fix
linear,cavi_0,40000,100,2.470000000001164,P_fix
linear,glmnet,40000,100,3.463999999999942,P_fix
binom,svi_1,20000,100,12.614000000001397,P_fix
binom,svi_0,20000,100,18.544999999998254,P_fix
binom,cavi_1,20000,100,481.9669999999969,P_fix
binom,cavi_0,20000,100,249.07099999999627,P_fix
binom,glmnet,20000,100,26.985999999997148,P_fix
linear,cavi_1,20000,100,1.9329999999972642,P_fix
linear,cavi_0,20000,100,1.2229999999981374,P_fix
linear,glmnet,20000,100,1.827000000004773,P_fix
binom,svi_1,10000,100,12.530999999995402,P_fix
binom,svi_0,10000,100,18.176999999996042,P_fix
binom,cavi_1,10000,100,61.77799999999843,P_fix
binom,cavi_0,10000,100,60.81899999999587,P_fix
binom,glmnet,10000,100,16.130000000004657,P_fix
linear,cavi_1,10000,100,0.9959999999991851,P_fix
linear,cavi_0,10000,100,0.7210000000050059,P_fix
linear,glmnet,10000,100,0.9769999999989523,P_fix
binom,svi_1,5000,100,12.07499999999709,P_fix
binom,svi_0,5000,100,18.105999999999767,P_fix
binom,cavi_1,5000,100,25.30800000000454,P_fix
binom,cavi_0,5000,100,21.828999999997905,P_fix
binom,glmnet,5000,100,10.56199999999808,P_fix
linear,cavi_1,5000,100,0.5760000000009313,P_fix
linear,cavi_0,5000,100,0.397000000004482,P_fix
linear,glmnet,5000,100,0.684000000001106,P_fix
binom,svi_1,1000,100,11.80800000000454,P_fix
binom,svi_0,1000,100,17.720000000001164,P_fix
binom,cavi_1,1000,100,1.3540000000066357,P_fix
binom,cavi_0,1000,100,1.555000000000291,P_fix
binom,glmnet,1000,100,31.82900000000518,P_fix
linear,cavi_1,1000,100,0.11899999999877764,P_fix
linear,cavi_0,1000,100,0.10699999999633292,P_fix
linear,glmnet,1000,100,0.2209999999977299,P_fix
binom,svi_1,1000,800,547.9630000000034,N_fix
binom,svi_0,1000,800,2467.476999999999,N_fix
binom,cavi_1,1000,800,22.331000000005588,N_fix
binom,cavi_0,1000,800,30.860999999997148,N_fix
binom,glmnet,1000,800,8.74199999999837,N_fix
linear,cavi_1,1000,800,13.294999999998254,N_fix
linear,cavi_0,1000,800,15.043000000005122,N_fix
linear,glmnet,1000,800,14.690999999998894,N_fix
binom,svi_1,1000,600,328.6020000000062,N_fix
binom,svi_0,1000,600,1166.4029999999984,N_fix
binom,cavi_1,1000,600,11.831000000005588,N_fix
binom,cavi_0,1000,600,12.328000000001339,N_fix
binom,glmnet,1000,600,8.30399999999645,N_fix
linear,cavi_1,1000,600,5.943999999995867,N_fix
linear,cavi_0,1000,600,5.802999999999884,N_fix
linear,glmnet,1000,600,5.972999999998137,N_fix
binom,svi_1,1000,400,152.8379999999961,N_fix
binom,svi_0,1000,400,438.34799999999814,N_fix
binom,cavi_1,1000,400,12.65899999999965,N_fix
binom,cavi_0,1000,400,9.286999999996624,N_fix
binom,glmnet,1000,400,8.708999999995285,N_fix
linear,cavi_1,1000,400,2.4389999999984866,N_fix
linear,cavi_0,1000,400,1.9500000000043656,N_fix
linear,glmnet,1000,400,1.9060000000026776,N_fix
binom,svi_1,1000,200,39.890999999995984,N_fix
binom,svi_0,1000,200,76.90099999999802,N_fix
binom,cavi_1,1000,200,2.1019999999989523,N_fix
binom,cavi_0,1000,200,2.4880000000048312,N_fix
binom,glmnet,1000,200,10.489999999997963,N_fix
linear,cavi_1,1000,200,0.5559999999968568,N_fix
linear,cavi_0,1000,200,0.44799999999668216,N_fix
linear,glmnet,1000,200,0.5409999999974389,N_fix
binom,svi_1,1000,100,12.323000000003958,N_fix
binom,svi_0,1000,100,18.675999999999476,N_fix
binom,cavi_1,1000,100,1.1129999999975553,N_fix
binom,cavi_0,1000,100,0.8960000000006403,N_fix
binom,glmnet,1000,100,5.951000000000931,N_fix
linear,cavi_1,1000,100,0.12400000000343425,N_fix
linear,cavi_0,1000,100,0.10500000000320142,N_fix
linear,glmnet,1000,100,0.2190000000045984,N_fix
binom,svi_1,40000,100,15.161000000000058,P_fix
binom,svi_0,40000,100,20.8179999999993,P_fix
binom,cavi_1,40000,100,3713.855000000003,P_fix
binom,cavi_0,40000,100,4392.442000000003,P_fix
binom,glmnet,40000,100,60.983000000000175,P_fix
linear,cavi_1,40000,100,4.491000000001804,P_fix
linear,cavi_0,40000,100,2.842000000000553,P_fix
linear,glmnet,40000,100,3.9349999999976717,P_fix
binom,svi_1,20000,100,15.229999999999563,P_fix
binom,svi_0,20000,100,22.662000000000262,P_fix
binom,cavi_1,20000,100,1064.161,P_fix
binom,cavi_0,20000,100,963.739999999998,P_fix
binom,glmnet,20000,100,38.616000000001804,P_fix
linear,cavi_1,20000,100,1.9330000000009022,P_fix
linear,cavi_0,20000,100,1.396999999997206,P_fix
linear,glmnet,20000,100,1.9989999999997963,P_fix
binom,svi_1,10000,100,14.135999999998603,P_fix
binom,svi_0,10000,100,20.780000000002474,P_fix
binom,cavi_1,10000,100,42.815999999998894,P_fix
binom,cavi_0,10000,100,40.70000000000073,P_fix
binom,glmnet,10000,100,15.22099999999773,P_fix
linear,cavi_1,10000,100,1.0860000000029686,P_fix
linear,cavi_0,10000,100,0.8269999999974971,P_fix
linear,glmnet,10000,100,1.0790000000015425,P_fix
binom,svi_1,5000,100,13.747999999999593,P_fix
binom,svi_0,5000,100,20.455000000001746,P_fix
binom,cavi_1,5000,100,13.59400000000096,P_fix
binom,cavi_0,5000,100,10.314000000002125,P_fix
binom,glmnet,5000,100,8.660000000003492,P_fix
linear,cavi_1,5000,100,0.5870000000031723,P_fix
linear,cavi_0,5000,100,0.42000000000189175,P_fix
linear,glmnet,5000,100,0.6919999999990978,P_fix
binom,svi_1,1000,100,13.275999999998021,P_fix
binom,svi_0,1000,100,19.993999999998778,P_fix
binom,cavi_1,1000,100,0.8480000000017753,P_fix
binom,cavi_0,1000,100,0.7809999999990396,P_fix
binom,glmnet,1000,100,4.927999999999884,P_fix
linear,cavi_1,1000,100,0.14400000000023283,P_fix
linear,cavi_0,1000,100,0.12700000000040745,P_fix
linear,glmnet,1000,100,0.2319999999999709,P_fix
binom,svi_1,1000,800,631.6310000000012,N_fix
binom,svi_0,1000,800,2759.0110000000022,N_fix
binom,cavi_1,1000,800,22.081999999998516,N_fix
binom,cavi_0,1000,800,26.242000000002008,N_fix
binom,glmnet,1000,800,10.31300000000192,N_fix
linear,cavi_1,1000,800,14.768000000000029,N_fix
linear,cavi_0,1000,800,15.596000000001368,N_fix
linear,glmnet,1000,800,17.126000000000204,N_fix
binom,svi_1,1000,600,359.15100000000166,N_fix
binom,svi_0,1000,600,1287.7330000000002,N_fix
binom,cavi_1,1000,600,11.413000000000466,N_fix
binom,cavi_0,1000,600,12.97099999999773,N_fix
binom,glmnet,1000,600,10.287000000000262,N_fix
linear,cavi_1,1000,600,6.669000000001688,N_fix
linear,cavi_0,1000,600,6.048999999999069,N_fix
linear,glmnet,1000,600,6.437000000001717,N_fix
binom,svi_1,1000,400,147.6239999999998,N_fix
binom,svi_0,1000,400,428.7089999999989,N_fix
binom,cavi_1,1000,400,8.213999999999942,N_fix
binom,cavi_0,1000,400,7.541000000001077,N_fix
binom,glmnet,1000,400,8.59599999999773,N_fix
linear,cavi_1,1000,400,2.503000000000611,N_fix
linear,cavi_0,1000,400,2.1850000000013097,N_fix
linear,glmnet,1000,400,1.8959999999970023,N_fix
binom,svi_1,1000,200,40.42699999999968,N_fix
binom,svi_0,1000,200,83.3869999999988,N_fix
binom,cavi_1,1000,200,3.025000000001455,N_fix
binom,cavi_0,1000,200,3.136000000002241,N_fix
binom,glmnet,1000,200,8.28099999999904,N_fix
linear,cavi_1,1000,200,0.5840000000025611,N_fix
linear,cavi_0,1000,200,0.46899999999732245,N_fix
linear,glmnet,1000,200,0.5250000000014552,N_fix
binom,svi_1,1000,100,11.924000000002707,N_fix
binom,svi_0,1000,100,17.57300000000032,N_fix
binom,cavi_1,1000,100,1.5179999999963911,N_fix
binom,cavi_0,1000,100,1.4250000000029104,N_fix
binom,glmnet,1000,100,27.070999999999913,N_fix
linear,cavi_1,1000,100,0.11199999999735155,N_fix
linear,cavi_0,1000,100,0.09400000000096043,N_fix
linear,glmnet,1000,100,0.21700000000055297,N_fix
binom,svi_1,40000,100,14.919000000001688,P_fix
binom,svi_0,40000,100,21.183999999997468,P_fix
binom,cavi_1,40000,100,2963.8010000000013,P_fix
binom,cavi_0,40000,100,3085.6100000000006,P_fix
binom,glmnet,40000,100,57.19800000000032,P_fix
linear,cavi_1,40000,100,4.302999999999884,P_fix
linear,cavi_0,40000,100,2.8289999999997235,P_fix
linear,glmnet,40000,100,4.397000000000844,P_fix
binom,svi_1,20000,100,14.642000000001644,P_fix
binom,svi_0,20000,100,21.4950000000008,P_fix
binom,cavi_1,20000,100,1723.4899999999998,P_fix
binom,cavi_0,20000,100,1737.237,P_fix
binom,glmnet,20000,100,42.75,P_fix
linear,cavi_1,20000,100,2.0289999999995416,P_fix
linear,cavi_0,20000,100,1.5349999999998545,P_fix
linear,glmnet,20000,100,2.2399999999997817,P_fix
binom,svi_1,10000,100,14.488000000000284,P_fix
binom,svi_0,10000,100,21.659999999999854,P_fix
binom,cavi_1,10000,100,431.03999999999996,P_fix
binom,cavi_0,10000,100,477.3130000000001,P_fix
binom,glmnet,10000,100,21.784999999999854,P_fix
linear,cavi_1,10000,100,1.1660000000001673,P_fix
linear,cavi_0,10000,100,0.831000000000131,P_fix
linear,glmnet,10000,100,1.094000000000051,P_fix
binom,svi_1,5000,100,13.018999999999323,P_fix
binom,svi_0,5000,100,19.807999999999993,P_fix
binom,cavi_1,5000,100,84.72900000000027,P_fix
binom,cavi_0,5000,100,84.20100000000002,P_fix
binom,glmnet,5000,100,13.431000000000495,P_fix
linear,cavi_1,5000,100,0.568000000000211,P_fix
linear,cavi_0,5000,100,0.40599999999994907,P_fix
linear,glmnet,5000,100,0.6089999999994689,P_fix
binom,svi_1,1000,100,13.286999999999352,P_fix
binom,svi_0,1000,100,19.337000000000444,P_fix
binom,cavi_1,1000,100,1.38799999999992,P_fix
binom,cavi_0,1000,100,1.6400000000003274,P_fix
binom,glmnet,1000,100,30.24200000000019,P_fix
linear,cavi_1,1000,100,0.12200000000029831,P_fix
linear,cavi_0,1000,100,0.1069999999999709,P_fix
linear,glmnet,1000,100,0.23300000000017462,P_fix
binom,svi_1,1000,800,616.5730000000003,N_fix
binom,svi_0,1000,800,2746.3259999999996,N_fix
binom,cavi_1,1000,800,30.02300000000014,N_fix
binom,cavi_0,1000,800,28.407000000000153,N_fix
binom,glmnet,1000,800,9.807000000000244,N_fix
linear,cavi_1,1000,800,13.788000000000011,N_fix
linear,cavi_0,1000,800,17.259000000000015,N_fix
linear,glmnet,1000,800,18.353000000000065,N_fix
binom,svi_1,1000,600,354.99699999999984,N_fix
binom,svi_0,1000,600,1292.419,N_fix
binom,cavi_1,1000,600,12.156000000000063,N_fix
binom,cavi_0,1000,600,14.809999999999945,N_fix
binom,glmnet,1000,600,9.205999999999904,N_fix
linear,cavi_1,1000,600,7.1889999999999645,N_fix
linear,cavi_0,1000,600,7.350000000000023,N_fix
linear,glmnet,1000,600,7.019999999999982,N_fix
binom,svi_1,1000,400,160.188,N_fix
binom,svi_0,1000,400,453.253,N_fix
binom,cavi_1,1000,400,8.495000000000005,N_fix
binom,cavi_0,1000,400,7.8019999999999925,N_fix
binom,glmnet,1000,400,9.387,N_fix
linear,cavi_1,1000,400,2.7210000000000036,N_fix
linear,cavi_0,1000,400,2.5749999999999886,N_fix
linear,glmnet,1000,400,2.070999999999998,N_fix
binom,svi_1,1000,200,44.035,N_fix
binom,svi_0,1000,200,82.71400000000001,N_fix
binom,cavi_1,1000,200,4.097999999999999,N_fix
binom,cavi_0,1000,200,3.811000000000007,N_fix
binom,glmnet,1000,200,13.498000000000005,N_fix
linear,cavi_1,1000,200,0.570999999999998,N_fix
linear,cavi_0,1000,200,0.4860000000000042,N_fix
linear,glmnet,1000,200,0.7199999999999989,N_fix
binom,svi_1,1000,100,12.969000000000001,N_fix
binom,svi_0,1000,100,19.509,N_fix
binom,cavi_1,1000,100,1.9840000000000018,N_fix
binom,cavi_0,1000,100,2.121000000000002,N_fix
binom,glmnet,1000,100,18.408,N_fix
linear,cavi_1,1000,100,0.129999999999999,N_fix
linear,cavi_0,1000,100,0.10299999999999976,N_fix
linear,glmnet,1000,100,0.29100000000000037,N_fix
